,sentence,word_count,Sentiment_score,Sentiment_SIA
457,asked,1,0.0,Neutral
458,work great good sound,4,0.7906,Positive
459,echo listen music sort of tool answer variety question volume little bit louder cant complain i internal power source order echo plugged time universal charging cord nice echo dot buy product,31,0.6007,Positive
460,love great fun,3,0.9118,Positive
461,love,1,0.6369,Positive
462,outstanding time work,3,0.6124,Positive
463,saving nice son buying refurbished device product diagnostics corrected,9,0.4215,Positive
464,work perfectly alexa turn light tv roomba,7,0.6369,Positive
465,refurbished,1,0.0,Neutral
466,good,1,0.4404,Positive
467,performs complaint,2,-0.296,Negative
468,great echo,2,0.6249,Positive
469,work great,2,0.6249,Positive
470,item work certified refurbished work advertised item crashed turned plugged connect phone echo dot crashed disconnect orange light freeze thing reboot blue light alexa ready connect freeze mid sentence holding action button second didnt returning hope item buyer purchase,39,0.2008,Positive
471,fast service ordered,3,0.0,Neutral
472,love figure thing item work great phone,7,0.8519,Positive
473,nan,1,0.0,Neutral
474,echo bought brand refurbished one honestly cant difference performance,9,0.4588,Positive
475,great product once learned work it this thing awesome,9,0.8481,Positive
476,work,1,0.0,Neutral
477,work time,2,0.0,Neutral
478,love portable,2,0.6369,Positive
479,course,1,0.0,Neutral
480,refurbished work excellent highly recommended purchasing,6,0.6997,Positive
481,mom love,2,0.6369,Positive
482,love echo dot brand work perfect satisfied,7,0.8934,Positive
483,,0,0.0,Neutral
484,small problem box rep amazon called walked reset process solved issue shocked response real effort including follow email thing working google clone learn plan install car boat garage alexa best friend loli gf worried alexa learns cook time limited,39,0.4767,Positive
485,love alexa dot play game son weather love work amazon fire tv,12,0.8779,Positive
486,question thing work intermittently smart tv change volume change channel doesnt reset dont refurbished expected,15,0.4019,Positive
487,certified refurbished echo dot work little confusing green ring echo dot asked alexa receiving call drop case minute figure notification delivery amazon ring supposed yellow pulsate message notification refurbished echo dot green pulsed,33,-0.2516,Negative
488,arrived easy set refurbished amazon echo dot expected alexa buddy great assistant,12,0.8271,Positive
489,work advertised speak clearly command wall holder set breeze close device initially connecting phone reason set easier though psychological haha,20,0.8176,Positive
490,love echo dot third ordered gift defective speaker return process isnt week,12,0.6369,Positive
491,ive returned,2,0.0,Neutral
492,refurbished echo wonderful purchased mother love ability contact phone listen music weather question wonderful gift work excellently problem,18,0.9595,Positive
493,work good price week purchased,5,0.4404,Positive
494,work amazingly bought daughter love,5,0.6666,Positive
495,love alexa great helping making appointment playing song forward,9,0.9062,Positive
496,bathroom love listen music whe showering,6,0.6369,Positive
497,dot original work perfectly buy future dot reconditioned,8,0.7579,Positive
498,little hard p are problem,5,-0.3702,Negative
499,weary picking conversation actively heard happening news concerning amazon release widespread push firmware prevent heard,15,0.25,Positive
500,dislike alexa dot thought cort na cool alexa awesome application family unbelievable device alive,14,0.802,Positive
501,happy refurbished echo dot ive week working perfectly original box happy purchase,12,0.9313,Positive
502,thumb,1,0.0,Neutral
503,work re at,3,0.0,Neutral
504,wrong rep spoke replacement registered price dot price refurbished bought brand spanking problem,13,-0.7003,Negative
505,work expected,2,0.0,Neutral
506,problem,1,-0.4019,Negative
507,room enjoyed work perfectly,4,0.8176,Positive
508,purchased grandson,2,0.0,Neutral
509,,0,0.0,Neutral
510,happy ordered,2,0.5719,Positive
511,love dot ability talk convenient issue refurbished,7,0.7579,Positive
512,started havent unplugged day talking daughter laying bed started going movie moana completely scared sht daughter,16,-0.4927,Negative
513,work great speaker sound fine recommend,6,0.8126,Positive
514,great,1,0.6249,Positive
515,loved price essentially brand dot opening refurbished looked brand unit consider better deal love versatility echo dot,17,0.9001,Positive
516,pleased order wanted,3,0.4404,Positive
517,house convenient set timer check weather,6,0.0,Neutral
518,love best experience refurbished device excellent,6,0.9201,Positive
519,love echo dot,3,0.6369,Positive
520,refurbished item fine but aware fee echo set room missing cord thank,12,0.2144,Positive
521,week setting longer work connection light sound guess shouldnt purchased refurbished dot,12,0.0,Neutral
522,worked brand new unit great addition collection,7,0.6249,Positive
523,great price work perfectly saved money refurb buy,8,0.9022,Positive
524,,0,0.0,Neutral
525,very god,2,0.3384,Positive
526,good,1,0.4404,Positive
527,great bought bought grab smart switched set smart capability highly recommended,11,0.8908,Positive
528,,0,0.0,Neutral
529,worked figure link device set sonos pretty easy product fault time figure,12,0.5267,Positive
530,,0,0.0,Neutral
531,worst amazon purchase big amazon fan love brand unlimited digital music prime videoseven buy online game music movie amazon app simple purchase useless,23,0.4019,Positive
532,work microphone dont pick full size echo audio quality size,10,0.0,Neutral
533,bought refurbished work work perfectly appear brand,7,0.6369,Positive
534,amazon doesnt disappoint,3,0.4512,Positive
535,work great bt receiver output connected vintage stereo equipment,9,0.6249,Positive
536,working great cant edit longevity year real test,8,0.6249,Positive
537,amazing,1,0.5859,Positive
538,love,1,0.6369,Positive
539,dot work fine compliment echo,5,0.5994,Positive
540,work difference bough refurbished,4,0.0,Neutral
541,big fan echo bathroom work great expected,7,0.7506,Positive
542,purchased year mother she love talking alexa responsive can detect room,11,0.7717,Positive
543,performance brand problem,3,-0.4019,Negative
544,echo dot disconnect speaker time day buy refurbished product star effort,11,0.0,Neutral
545,love great product,3,0.8519,Positive
546,work good satisfied,3,0.6908,Positive
547,love alexa sound dot best echo gen kitchen living room bedroom difference sound dot lack full base sound sound coming cheap portable speaker disappointed returned shelled money buy second echo bedroom,31,0.6124,Positive
548,a while connected electronically savy love,6,0.6369,Positive
549,cant thing sink wireless returning time,6,0.0,Neutral
550,absolutely love,2,0.6697,Positive
551,product stopped working return time,5,-0.2263,Negative
552,second dot work great refurbished thought,6,0.6249,Positive
553,love guy work great,4,0.8519,Positive
554,love second alexa bedroom great checking weather meditation music timer perfect husband eye drop multiple time day eye closed minute,20,0.8979,Positive
555,purchased refurbished work brand minute set easy echo dot command start playing music backyard deck sound system,17,0.5719,Positive
556,substitute original echo dot performs sound quality poor listen highest level,11,-0.2023,Negative
557,love echo dot help husband netflix apps amazon fire tv problem refurbished planning amazon fire stick bedroom,17,0.4215,Positive
558,stopped working month warranty good month assumed amazon product sold amazon higher standard guaranteeing work month product supposed piece junk they offered discount wanted buy buy,26,0.5267,Positive
559,problem whatsoever alexa,3,-0.4019,Negative
560,uncle little haywire,3,0.0,Neutral
561,bought son didnt work return,5,0.0,Neutral
562,bought quit connecting wifi responding voice month hard soft reset problem,11,-0.4767,Negative
563,received echo dot today good condition advised paid amazon writing raised price buying good deal set dot simple plug follow app instruction initially i phones wifi setting called amazon customer service dunno ive terrible support guy call rambled completely unhelpful script ended setting dot middle spiel im norm refurbished dot pretty finicky wifi range randomly disconnect app range ghz connection strong reconnecting pain time well all alexa work work amazingly dont speaker hooked thing enjoy mics range sensitivity annoying limitation apple siri playing audio device speaker music podcasts hey siri feature useless alexa problem hearing playing time amazingly fast responsiveness havent louder speaker continue hold true setting alexa control wireless device breeze albeit limitation support arlo device nil special setting led device rainbow effect alexa cant handle change solid color brightness levels all rating wouldve lower decent price item connectivity problem persist exchange return item dont alex as kind growing,150,0.8651,Positive
564,bought love volume loud played music treadmill tower speaker x louder,11,0.765,Positive
565,worked,1,0.0,Neutral
566,second refurbished model work at,5,0.0,Neutral
567,bad device dont refurbished activated talking activated start talking talk yell super lauded,13,0.1027,Positive
568,good brand save money,4,0.7269,Positive
569,adding room convenience,3,0.0,Neutral
570,nice work good some time easy recognize voice repeat time time screaming,12,0.7184,Positive
571,chance certified refurbished unit brand new no excuse disappointment minute trouble free set effortless bluetooth speaker connectivity alexa app i phone flawless listening favorite tune bose bluetooth setup happier walk door alexa play music viola instant atmosphere opening i pad going setting turning bluetooth accessing pandora app thing effortless true joy box didnt discover fine piece technology worth penny,59,0.9469,Positive
572,alex as sister second dot,5,0.0,Neutral
573,love alexa echo dot refurbished work great sooo thing love alarm morning love play music sound ocean nature sound sleep love thing,22,0.9716,Positive
574,bought refurb work bought prior original packaging,7,0.3182,Positive
575,love second wife,3,0.6369,Positive
576,impressed save group correctly understand time excitement alex as voice sound water supposed understand im going return google,18,0.8591,Positive
577,work obvious issue refurbished,4,0.0,Neutral
578,work great cant refurbished set kid mode adding love thing,10,0.8519,Positive
579,great product useless unnecessary feature smart dont,7,0.6124,Positive
580,worked good echo dot preciously purchase,6,0.7269,Positive
581,bought mother love its he love guard dog features he sense security night leaf house,15,0.8957,Positive
582,bought speaker playing music video phone working read instruction working,10,0.2023,Positive
583,work,1,0.0,Neutral
584,bought work great electronics running alexa,6,0.6249,Positive
585,,0,0.0,Neutral
586,blue light blink time,4,0.0,Neutral
587,fun learning trick functionality future human computer interface household automation star trek knew,13,0.4767,Positive
588,work great control tv light device ive wake dont time dont open eye shout alexa time figure house hold chore walk dog golden sound great size expect echo better audio larger expensive echo,33,0.9022,Positive
589,work great,2,0.6249,Positive
590,product little room daughter constantly alexa spell barely tapped thing product capable forward learning capability,15,0.3818,Positive
591,,0,0.0,Neutral
592,great product work,3,0.6249,Positive
593,absolutly love,2,0.6369,Positive
594,bought echo dot loved work absolutely love,7,0.8553,Positive
595,work promised,2,0.3612,Positive
596,work great existing smart setup,5,0.7783,Positive
597,perfect difference,2,0.5719,Positive
598,cant figure,2,0.0,Neutral
599,good cant hear,3,0.4404,Positive
600,little apprehensive buying refurbished electronic product amazon guarantee thought glad buy refurb product form amazon love alexa product sits desk small footprint great sound daily work great,27,0.9628,Positive
601,bad bad speaker sound,4,-0.7906,Negative
602,great device verbally add thing shopping list occasionally number fun thing program red alert tardis land house geek chose wake word computer alexa majel barret s voice geek heaven easy premium spot if y work properly multiple music account attached listen music room worth time weather news briefing intercom system awesome fun knowing nsa listening,55,0.968,Positive
603,love,1,0.6369,Positive
604,purchased daughter love amazing love game,6,0.9217,Positive
605,doesnt work,2,0.0,Neutral
606,good perfectly packaged issue dot,5,0.7964,Positive
607,love bought granddaughter play music question entertained hour good buy honest opinion,12,0.9382,Positive
608,issues works great,3,0.6249,Positive
609,fun toy daughter read,4,0.5106,Positive
610,refurbish echo dot received condition packaging complaint neat little gadget drives wife nut,13,0.2023,Positive
611,received echo gift loved decided dot bedroom easy set big difference sound quality buy,14,0.8658,Positive
612,worked advertised,2,0.0,Neutral
613,amazon product great bought refurbished complete garbage purchase amazon refurbished total dissatisfaction,12,0.5106,Positive
614,work good microphone good better echo product,7,0.8271,Positive
615,little work set finally sound quality best work great check weather cooking question kitchen play radio music upgrade echo better sound,21,0.9274,Positive
616,love alexa best thing bought dont lived thing amazing happy product google,12,0.8758,Positive
617,loved work great,3,0.8402,Positive
618,extremely low volume,3,-0.3384,Negative
619,trouble program downloaded phone ended computer interesting answer wikipedia echo dot music playing department heard song music totally forgotten mainstream station amusing alexa responds dont yard cotton fabric refer football playing paid full price gadget sorely disappointed reasonable step hal,40,-0.024,Neutral
620,brought replace moved doesnt range previous refurbished unit seldom find wifi connect tired hearing message trouble connecting check alexa app unplugged troubleshooting reconnected time strong,25,-0.1531,Negative
621,listen music echo dot unit simultaneously pay monthly fee thought amazon apple ive paid room money,16,0.0772,Positive
622,purchased gift,2,0.4404,Positive
623,love,1,0.6369,Positive
624,good device bought workout room issue reaching volume heard standard row machine better speaker,14,0.765,Positive
625,work great simple set alexa accurate imagined thought alarm set bit complaint no listening dont wake word worried lose conspiracy theory speaker great dont hold turned gen,27,-0.2052,Negative
626,voice clarity eavesdropping effort easier government,6,0.6705,Positive
627,worked perfect,2,0.5719,Positive
628,little trouble replaced router work good current temperature time alexa degree degree alexa degree work expected enjoy listening music amazon pandora station requesting favorite song recording artist,27,0.8122,Positive
629,bought three three worked flawlessly labeled refurbished,7,0.2023,Positive
630,device work perfectly good price love alexa great fun music great radio station morning traffic report didnt enjoy a i house fun educational entertaining people tech savvy,27,0.9806,Positive
631,eh work half time respond wake work fine,8,0.2023,Positive
632,great little thing work better siri,6,0.7741,Positive
633,amazing love,2,0.8402,Positive
634,bought son love,3,0.6369,Positive
635,second generation echo dot prefer volume ring gen better button second gen job great price definitely recommend,17,0.9042,Positive
636,fun morning briefing,3,0.5106,Positive
637,arrived time work amazing,4,0.5859,Positive
638,setup quick easy,3,0.4404,Positive
639,good refurbishing,2,0.4404,Positive
640,love,1,0.6369,Positive
641,love echo dot,3,0.6369,Positive
642,music type the isnt wireless volume high,7,0.0,Neutral
643,great product,2,0.6249,Positive
644,work great reason leaving star play plugged time pretty irritating outlet,11,0.7717,Positive
645,work great,2,0.6249,Positive
646,love it a personal assistant computer,6,0.6369,Positive
647,problem item inexperience ordered wrong thing decided set alexa replace small bluetooth speaker bedroom thought learn downloaded app echo sync i phone ive decided kid enjoy intended,27,-0.3818,Negative
648,e perfecto,2,0.3182,Positive
649,working good,2,0.4404,Positive
650,working great daughter love,4,0.8519,Positive
651,work great,2,0.6249,Positive
652,love,1,0.6369,Positive
653,wanted white dot white bathroom top black knew realize cord plug black wanted white cord plug,16,0.2023,Positive
654,,0,0.0,Neutral
655,work great,2,0.6249,Positive
656,amazing,1,0.5859,Positive
657,great product,2,0.6249,Positive
658,work perfectly,2,0.6369,Positive
659,perfect,1,0.5719,Positive
660,set echo dot worked hour died completely buy refurbished return day received,12,-0.5574,Negative
661,echo dot horrible volume phone louder device bos case,9,-0.5423,Negative
662,work connectivity issue definitely worth money,6,0.5574,Positive
663,issue refurbished unit performed expected buy needed,7,0.0,Neutral
664,great mom inside owl head jacuzzi,6,0.6249,Positive
665,work great son room drop option attention gaming watching tv,10,0.4588,Positive
666,perfect,1,0.5719,Positive
667,looked brand nrw to complain def ently ordering,8,-0.3612,Negative
668,speaker pretty terrible google better product,6,0.4588,Positive
669,love,1,0.6369,Positive
670,love answer stupid question tell weather dont couch,8,0.2023,Positive
671,quit working shortly unresponsive voice time work app dot,9,0.0,Neutral
672,bought niece room cant refurbished good work,7,-0.3412,Negative
673,device working instruction alexa echo dot upsetting,7,-0.4767,Negative
674,crackling noise turning expect refurbished item,6,0.0,Neutral
675,best price find answer question handy find phone intercom system,10,0.6369,Positive
676,satisfied product perfect introduction alexa,5,0.7579,Positive
677,work speaker grand speaker drop future full size echo,9,0.2263,Positive
678,love echo thing full size version sound better,8,0.7964,Positive
679,work great,2,0.6249,Positive
680,life plan time music,4,0.0,Neutral
681,trouble hearing wake word despite trained voice wonder buying refurbished google mini problem hearing louder,15,-0.6597,Negative
682,love work perfectly,3,0.8555,Positive
683,brand echo dot thought refurbished good expectation refurbished unit turn realized power adapter faulty amazon send power adapter return option love amazon buy toilet paper down update amazon contacted credited buy power adapter shop amazon trust deliver product,38,0.9371,Positive
684,bought family member gift called like love,7,0.8625,Positive
685,loud quality ease great sound perfect background music connected hosting louder party,12,0.9186,Positive
686,looked brand work great love echo dot refurbished,8,0.8519,Positive
687,time,1,0.0,Neutral
688,working alexa device lm fanatic,5,0.0,Neutral
689,echo good,2,0.4404,Positive
690,work great,2,0.6249,Positive
691,great price extend range super dot offer hooked wireless speaker working outside this dot outdoor sound range disturbing indoor light control,21,0.7506,Positive
692,amazingly fun daughter asked question day set daily alarm weekend reminder playlist morning random song daily bible verse weather morning commute tell dodging traffic dont linked phone,27,0.2006,Positive
693,work perfect difference refurb house ill buying refurbs,8,0.2263,Positive
694,great product wake morning time,5,0.6249,Positive
695,difference unused original,3,0.3182,Positive
696,complaint exactly little cheaper great,5,0.3862,Positive
697,perfect condition,2,0.5719,Positive
698,,0,0.0,Neutral
699,work version discount echo speaker decided purchase version amazon state warranty,11,0.1779,Positive
700,received echo gift needed bluetooth play music easily accessible smart speaker cant wait,13,0.8555,Positive
701,cell phone feature i pad great alarm deaf hear alarm bedroom living room reason her it fun random question hear response smart bon politics,24,0.743,Positive
702,ive purchased working room house feature offer specifi ly playing music echo controlling light house,15,0.6597,Positive
703,great,1,0.6249,Positive
704,love ive listened song havent heard childhood news weather great,10,0.8519,Positive
705,year dad talk constantly,4,0.0,Neutral
706,love learning knew thing evey day figuring work easy understand laugh time,12,0.8934,Positive
707,purchased mother knee problem fast did she enjoys little big thing do alexa play song time cook,17,0.4588,Positive
708,love love love,3,0.9274,Positive
709,expected,1,0.0,Neutral
710,love wife hate,3,0.128,Positive
711,happy purchase great speaker easy set,6,0.8934,Positive
712,alexa couple day lot fun toy household member learn featues benefit,11,0.743,Positive
713,love size generation echo little improvement sound,7,0.785,Positive
714,original echo shorter greater fabric color choice volume ring top plus minus button big deal ring comforting standard usb charger port previous round pin guess sound work answer alexa echo computer,31,0.8074,Positive
715,love echo good music sound playing alexa understands command difficult time find specific playlist song spot if y good amazon music lacking major program,24,0.875,Positive
716,love alexa play music play radio itunes play podcasts any pod set reminder listen flash briefing news weather morning rely custom list voice control volume continue find uses sometimes bit frustrating alexa doesnt understand,34,0.8176,Positive
717,set day adding smart device speaker great playing music size stationed kitchen counter intrusive,14,0.8225,Positive
718,love play sleep sound,4,0.765,Positive
719,second unit bedroom expecting sound improved didnt difference big improvement st generation,12,0.1581,Positive
720,amazing product,2,0.5859,Positive
721,love echo easy operate load fun it advertised play favorite tune test alex as knowledge,15,0.9413,Positive
722,sound great love,3,0.8519,Positive
723,fun item play hard time answering question better,8,0.802,Positive
724,,0,0.0,Neutral
725,learning capabilities but pretty pretty pretty good,7,0.9568,Positive
726,,0,0.0,Neutral
727,work learning command unique owner user alexa learn tas has birthday alexa learn definition fine great,16,0.7096,Positive
728,speaker sound pretty good small setup pretty easy bought reason rate instruction synching music unit ive correctly sync primary motivation purchasing multiple unit,23,0.9274,Positive
729,device awesome,2,0.6249,Positive
730,bought compare speaker quality generation speaker sound better ship daughter fact generation chargeable base bought mobile better sound,18,0.7003,Positive
731,love echo learning thing follow instruction included package great u tube,11,0.8519,Positive
732,speaker better st generation echo,5,0.4404,Positive
733,thing cool cool,3,0.5574,Positive
734,digital assistant good review speaker good cheap price prime day fun play alarm clock going place ended echo havent definitely it what best number device connect purchase smart plug connect lamp alexa turn light,34,0.933,Positive
735,husband like listen music knew capability,6,0.3612,Positive
736,android allow alexa connect fortunately sister apple cell hour tech support fixed glitch running,14,0.5574,Positive
737,good,1,0.4404,Positive
738,play broadway camelot ne group camelot,6,0.34,Positive
739,great,1,0.6249,Positive
740,satisfied echo alexa control light family room wife listen jimmy buffet alexa,12,0.4215,Positive
741,siri fact siri answer accurately alexa dont real household good bargain prime day deal,14,-0.1546,Negative
742,love echo learning thing work ton fun,7,0.8176,Positive
743,love,1,0.6369,Positive
744,apple play specific list music amazon spot if y plus prime etc account pay play music star reason,18,0.6249,Positive
745,excelente lo unico e esta en espaol,7,0.0,Neutral
746,learning echo great sound better expecting,6,0.7906,Positive
747,work expect good sound quality considering price sale feature,9,0.4404,Positive
748,sound echo generation phenomenal mention love alexa helpful,8,0.7906,Positive
749,google better,2,0.4404,Positive
750,play learn,2,0.34,Positive
751,work advertised easy setup learning,5,0.4404,Positive
752,great sound easy set,4,0.7906,Positive
753,love alexa bought friend,4,0.8126,Positive
754,love echo purchased company husband alexa great tell joke play favorite song,12,0.9423,Positive
755,,0,0.0,Neutral
756,love listen music easily learning feature,6,0.765,Positive
757,device thing overview,3,0.0,Neutral
758,love built hub,3,0.6369,Positive
759,play music work wonderfully thing amazon tip help,8,0.8658,Positive
760,easy set,2,0.4404,Positive
761,fast response amazing clear concise answer sound quality fantastic alexia us de echo full extent,15,0.875,Positive
762,need na nana,3,0.0,Neutral
763,expected,1,0.0,Neutral
764,love echo work dont smart speak function good,8,0.7043,Positive
765,great sound small package easy set fun,7,0.8834,Positive
766,work sound great,3,0.6249,Positive
767,sound amazing collection music,4,0.5859,Positive
768,setting,1,0.0,Neutral
769,doesnt listen,2,0.0,Neutral
770,awesome,1,0.6249,Positive
771,bought control fios television work hoping time control fios discovered thing alexa play music great sound alexa play game play radio station play time radio program long ranger alexa apps add ability day played madlibs great fun alexa control household appliance purchased alexa compatible power strip control lighting fan tv component forward implementing controll add alexa component chosen music play room component located,63,0.9839,Positive
772,speaker excellent sound work perfectly,5,0.836,Positive
773,,0,0.0,Neutral
774,love,1,0.6369,Positive
775,little nervous received echo tech savvy bit intimidating didnt long figure happy purchase thinking adding echo spot,17,-0.7721,Negative
776,learning,1,0.0,Neutral
777,great technology cant speaker volume quality wonderful bought,8,0.8316,Positive
778,purchased echo dot husband father day constantly hearing quality sound echo generation no brainer best gift,16,0.7096,Positive
779,work fine,2,0.2023,Positive
780,,0,0.0,Neutral
781,clear music,2,0.3818,Positive
782,fun good sound quality,4,0.7351,Positive
783,echo work sync amazon music device,6,0.1779,Positive
784,work great dont amazon charge cent unlimited music prime buy echo,11,0.5547,Positive
785,echo dot echo better fuller sound setup phone call contact list great,12,0.7906,Positive
786,speaker sound good,3,0.4404,Positive
787,good sound work,3,0.4404,Positive
788,love alexa savvy support helpful patient,6,0.8658,Positive
789,love thinking prime day discount offered pas fun alexa play song group playlist amazon prime music connect i phone bluetooth play music pandora youtube video alexa speaker ive fun alexa type question weather news time country downside limited data wifi plan alexa burn playing music,45,0.9349,Positive
790,lot,1,0.0,Neutral
791,love strictly music great,4,0.8519,Positive
792,love echo love size material speaker quality hooked light easily work additional light thermostat echo dot bedroom lot echo traffic weather trivia,22,0.8957,Positive
793,love,1,0.6369,Positive
794,entire family love alexa echo family,6,0.6369,Positive
795,great fun function product wow family fun homework help talking grandchildren who echo huge bonus cant wait learn,18,0.9719,Positive
796,love,1,0.6369,Positive
797,awesome thing love alexa,4,0.8519,Positive
798,worked exactly expected speaker great sound perfect classroom,8,0.8316,Positive
799,love love little gadget life easier personal secretary living cd alexa play going alexa dot room,16,0.9237,Positive
800,speaker surprising quality happy purchase,5,0.7003,Positive
801,easy set work wonderful love,5,0.8957,Positive
802,impressed sound quality playing music device bass sound coming bigger speaker prop amazon,13,0.6808,Positive
803,great product but sound quality worse dont wrong definitely hour definitely feel echo gen sound quality better besides great with addition play bluetooth wifi better,25,0.9247,Positive
804,outlet work disappointed,3,-0.4767,Negative
805,great device responsive helpful,4,0.8555,Positive
806,sound terrible good music bose,5,-0.0516,Negative
807,sound troubling paid extra money access song doesnt work alexa play italian song dont understand play opera tosca response dont,20,-0.763,Negative
808,easy set bad plugged nice operate battery recharged,8,0.296,Positive
809,learning way real hit grandkids play music dance yr cute,10,0.6597,Positive
810,star generally product great playing music setting timer making call reason didnt rate connection dy echo stop playing music red ring connection issue great product,25,0.8625,Positive
811,work great upgraded echo dot full size echo happier,9,0.8176,Positive
812,alexa,1,0.0,Neutral
813,upgraded li lttle echo dot happy sound,7,0.5719,Positive
814,excellent product set ease,4,0.7351,Positive
815,ive gen echo worked purchased gen prime day happy improved speaker enhanced sound music,14,0.7783,Positive
816,love echo smart speaker love volume clarity easy set wonderful gift age,12,0.9729,Positive
817,wonderful product fast delivery,4,0.5719,Positive
818,initially harder set called tech knowledgeable working great,8,0.6249,Positive
819,easy set family love,4,0.7964,Positive
820,great sound responsive voice command,5,0.765,Positive
821,live long echo enjoy music style alexa going upg reade wireless love echo love alexa,15,0.9118,Positive
822,cool product speaker sound good spot if y blasting,9,0.6369,Positive
823,fun alexa love listen music room busy,7,0.8176,Positive
824,nice item pick voice understands problem day asked turn music room heard fine ive listen music check weather thing,19,0.2263,Positive
825,love echo,2,0.6369,Positive
826,love its he helpful remembering thing sleep week learning,9,0.7906,Positive
827,better st gen ring top volume control quicker easier grab top twist button find press time bass bit better great device happy,22,0.9584,Positive
828,love alexa,2,0.6369,Positive
829,,0,0.0,Neutral
830,thoroughly enjoying eco o love read audiobook office simply open audiobook kindle continue wonderful listening music mood book great setting reminder,21,0.9513,Positive
831,love,1,0.6369,Positive
832,love,1,0.6369,Positive
833,love sound quality unit clear sound,6,0.7783,Positive
834,listening talk radio morning turning light system excellent job full house sound system streaming sirius,15,0.5719,Positive
835,week learning alexa learning process love music call time listen podcasts radio station started keeping shopping list grocery list love dont search paper pencil time temperature great wait weather report sound good fussy woofer tweeter base echo fine afternoon going dropping in on son going surprise,46,0.9601,Positive
836,feature,1,0.0,Neutral
837,great sound quality great feature great product multi room music cool,11,0.9393,Positive
838,cool,1,0.3182,Positive
839,echo three bought echo qvc,5,0.0,Neutral
840,annoying alexa downloaded spend time figure phrase machine,8,-0.4019,Negative
841,alexa accidentally spilled water replaced generation decided echo setup easy working minute,12,0.128,Positive
842,alexia music hear trouble finding song specific title,8,-0.4019,Negative
843,better original echo moved echo basement family room nice sound,10,0.7906,Positive
844,echo wonderful learning music request limited,6,0.4215,Positive
845,doesnt half thing asked cant recognize sprinkler wifi controller product detail compatible cant program change wifi thermostat setting matched wifi router handy music player amazon music,26,0.1779,Positive
846,love,1,0.6369,Positive
847,awesome understands kid,3,0.6249,Positive
848,pleasantly surprised sound quality feature nice easily hear artist hear book simple command forward exploring option device,17,0.8481,Positive
849,met exceeded expectation easy set quick response,7,0.4404,Positive
850,fact kind music prime request alexa informative photo little pamphlet included connect tv command alexa love music,17,0.8225,Positive
851,access echo thorough prime account top video music setup app define example music integrated echo playlist echo set play list setting fact exact match playlist name remember i ready nature echo respond query,33,0.6908,Positive
852,great item audible book better,5,0.7906,Positive
853,prime day gen echo sale resist smart set happier alexa amazing job connecting smart device control light smart plug tv trouble connecting echo wifi phone app work perfectly fine add skill routine smart device timer sound quality good audiophile alexa hear voice watching movie high volume design great modern definitely add nice touch change cover sale great addition enables possibility havent add alexa,63,0.989,Positive
854,versatile fun,2,0.5106,Positive
855,work great killer speaker wife son love,7,0.6124,Positive
856,regret waiting long purchase item surprised pleased sound quality,9,0.25,Positive
857,stopped working week didnt follow command fun working,8,-0.5577,Negative
858,love working thing set love grocery list app,8,0.8555,Positive
859,performs pretty expected disappointed provide terminology play kind music subscribing amazon music service understand music choice limited knowing access music provided free echo purchase chart showing language,27,0.8402,Positive
860,easy set,2,0.4404,Positive
861,product speaker high quality expected,5,0.0,Neutral
862,great investment alexa helped laugh,5,0.8271,Positive
863,ex ho love,3,0.6369,Positive
864,love plan gender music big band jazz easy find local radio sound good voice command phone call,17,0.875,Positive
865,good,1,0.4404,Positive
866,super easy set loving echo,5,0.8934,Positive
867,speaker alexa,2,0.0,Neutral
868,best father day gift dad joked mom alexa listening repeated story going forward,13,0.8555,Positive
869,great addition breakfast room kitchen tune instantly slowly learning feature,10,0.6249,Positive
870,sound quality,2,0.0,Neutral
871,sad joke worthless,3,-0.5859,Negative
872,entertainment,1,0.4215,Positive
873,good quality,2,0.4404,Positive
874,work great sound great beat battery better portability,8,0.9022,Positive
875,loved till stole d cant afford replace going,8,0.5994,Positive
876,alexa rock,2,0.0,Neutral
877,gift love bought allows play music am oz on prime music worth news brief tell joke,16,0.9118,Positive
878,,0,0.0,Neutral
879,mom bought echo dot repeated great told day hour live life amazing large speaker small echo dot returning going order alexa speaker big echo to ull returning echo dot live,30,0.836,Positive
880,love great product,3,0.8519,Positive
881,easy set user friendly,4,0.7269,Positive
882,disappointed alexa plugin wall socket time fault checking assumption company technologically advanced amazon sell product rechargeable battery return apple music boom speaker flexibility alexa,24,-0.1779,Negative
883,dont gen sound good st aux add external speaker going dot issue isnt unique unit dont understand cant override default prevents playing blue tooth speaker playing group delay bt speaker unit heard play group bt speaker,36,0.0186,Neutral
884,,0,0.0,Neutral
885,interaction question dont cant setup schedule connected lamp,8,0.0,Neutral
886,sup be rb sound definitely worth extra money listen lot music,11,0.5574,Positive
887,love amazon echo sound quality great lot fun handy music update weather sport,13,0.9231,Positive
888,love grandkids,2,0.6369,Positive
889,worked intuitive link device skill hang,6,0.0,Neutral
890,work advertised,2,0.0,Neutral
891,love,1,0.6369,Positive
892,love addition house speaker quality great love alexa complaint suggestion future series better communication ability example smart light house kitchen light kitchen light prior command respond doesnt recognize alexa respond repeat alexa time respond husband sound odd laugh southern thing alexa manner,42,0.9661,Positive
893,music trivia game weather,4,0.0,Neutral
894,described received time automatic enrolment music,6,0.0,Neutral
895,great device,2,0.6249,Positive
